threshold_min_samples,lineages_remaining,pct_lineages_remaining,pct_counts_remaining,pct_matrix_remaining,selected_threshold
222,527,20.97,,91.98,
223,523,20.81,,91.94,
224,521,20.73,,91.93,
225,519,20.65,,91.86,
226,518,20.61,,91.85,
227,516,20.53,,91.83,
228,515,20.49,,91.83,
229,514,20.45,,91.82,
230,512,20.37,,91.81,
231,512,20.37,,91.81,
232,512,20.37,,91.81,
233,512,20.37,,91.81,
234,511,20.33,,91.81,
235,508,20.21,,91.8,
236,506,20.14,,91.79,
237,505,20.1,,91.77,
238,503,20.02,,91.76,
239,501,19.94,,91.74,
240,500,19.9,,91.73,
241,500,19.9,,91.73,
242,499,19.86,,91.71,
243,497,19.78,,91.7,
244,495,19.7,,91.68,
245,494,19.66,,91.68,
246,494,19.66,,91.68,
247,493,19.62,,91.67,
248,491,19.54,,91.65,
249,491,19.54,,91.65,
250,491,19.54,,91.65,
