sample_id,cluster,env_biome,group_biome,env_feature,env_material,empo_1,empo_2,empo_3,envo_biome_0,envo_biome_1,envo_biome_2,country,latitude_deg,longitude_deg,depth_m,elevation_m,adiv_observed_otus,adiv_chao1,adiv_shannon,adiv_faith_pd,temperature_deg_c,ph,salinity_psu,phosphate_umol_per_l,ammonium_umol_per_l,nitrate_umol_per_l
1289.KH14,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1032,1795.53488372093,8.44925690294154,88.282110690676,NA,NA,NA,NA,NA,NA
1289.KH15,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,984,1823.53378378378,8.35488639827127,82.390324171691,NA,NA,NA,NA,NA,NA
1289.KH16,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,957,1561.83606557377,8.28257574651529,77.6607925814301,NA,NA,NA,NA,NA,NA
1289.KH17,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1016,1845.64285714286,8.55823198785741,82.482320796523,NA,NA,NA,NA,NA,NA
1289.KH18,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1082,2029.78212290503,8.49099357372696,90.932210316529,NA,NA,NA,NA,NA,NA
1289.KH19,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1100,1884.28358208955,8.51434060837554,90.925606438165,NA,NA,NA,NA,NA,NA
1289.KH2,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,999,1761.01754385965,8.15148472881178,83.4207203696189,NA,NA,NA,NA,NA,NA
1289.KH20,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1084,1944.9375,8.63184926047379,92.787763971227,NA,NA,NA,NA,NA,NA
1289.KH22,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,949,1682.77464788732,8.36645635327207,79.062341153765,NA,NA,NA,NA,NA,NA
1289.KH23,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1017,1780.62068965517,8.33129113611888,84.022192028267,NA,NA,NA,NA,NA,NA
