dataset,biome_label_scheme,rank,genus,phylum,full_lineage,MeanDecreaseAccuracy,MeanDecreaseGini
EMP_Soil_Subset,grouped_biomes,14,Xanthomonadaceae,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,8.0547,6.3324
EMP_Soil_Subset,grouped_biomes,15,Rubrobacter,Actinobacteriota,Bacteria;Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter,7.8867,4.81
EMP_Soil_Subset,grouped_biomes,16,Phyllobacterium,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium,7.8055,5.0379
EMP_Soil_Subset,grouped_biomes,17,Yersinia,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia,7.7528,6.7503
EMP_Soil_Subset,grouped_biomes,18,WX65,Methylomirabilota,Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales;WX65,7.6002,1.8398
EMP_Soil_Subset,grouped_biomes,19,GOUTA6,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;GOUTA6,7.4908,3.2261
EMP_Soil_Subset,grouped_biomes,20,Pseudolabrys,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys,7.4571,6.8807
EMP_Soil_Subset,grouped_biomes,21,Geobacter,Desulfobacterota,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter,7.3497,10.6618
EMP_Soil_Subset,grouped_biomes,22,Nitrososphaeraceae,Crenarchaeota,Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae,7.2213,4.451
EMP_Soil_Subset,grouped_biomes,23,RCP2-54,RCP2-54,Bacteria;RCP2-54,7.218,2.4313
EMP_Soil_Subset,grouped_biomes,24,Flavisolibacter,Bacteroidota,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter,7.1927,3.8582
EMP_Soil_Subset,grouped_biomes,25,BIrii41,Myxococcota,Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41,7.1785,14.5431
EMP_Soil_Subset,grouped_biomes,26,Subgroup 2,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2,7.1389,3.3089
EMP_Soil_Subset,grouped_biomes,27,Candidatus Nitrocosmicus,Crenarchaeota,Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrocosmicus,7.0704,2.6511
EMP_Soil_Subset,grouped_biomes,28,KI89A clade,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade,6.939,5.0589
EMP_Soil_Subset,grouped_biomes,29,Desulfobacterota,Desulfobacterota,Bacteria;Desulfobacterota,6.8825,3.0973
EMP_Soil_Subset,grouped_biomes,30,IS-44,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;IS-44,6.752,2.9253
EMP_Soil_Subset,grouped_biomes,31,AD3,Chloroflexi,Bacteria;Chloroflexi;AD3,6.6516,3.5683
EMP_Soil_Subset,grouped_biomes,32,Enterobacterales,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,6.6189,4.1364
EMP_Soil_Subset,grouped_biomes,33,Solibacillus,Firmicutes,Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus,6.571,3.4143
EMP_Soil_Subset,grouped_biomes,34,Methylocella,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocella,6.5372,15.9517
EMP_Soil_Subset,grouped_biomes,35,Azohydromonas,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Azohydromonas,6.4954,1.4402
EMP_Soil_Subset,grouped_biomes,36,Geobacteraceae,Desulfobacterota,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae,6.4703,8.2112
EMP_Soil_Subset,grouped_biomes,37,Haliangium,Myxococcota,Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium,6.4414,11.0564
EMP_Soil_Subset,grouped_biomes,38,NB1-j,NB1-j,Bacteria;NB1-j,6.4318,2.4385
EMP_Soil_Subset,grouped_biomes,39,Rhodomicrobium,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodomicrobiaceae;Rhodomicrobium,6.3707,3.2722
EMP_Soil_Subset,grouped_biomes,40,Acidothermus,Actinobacteriota,Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus,6.3423,4.9097
EMP_Soil_Subset,grouped_biomes,41,MND1,Proteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1,6.3298,4.0757
EMP_Soil_Subset,grouped_biomes,42,Gaiella,Actinobacteriota,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella,6.1982,3.4816
EMP_Soil_Subset,grouped_biomes,43,Stenotrophobacter,Acidobacteriota,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter,6.1735,4.798
EMP_Soil_Subset,grouped_biomes,44,Ellin6055,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Ellin6055,6.1224,2.6621
EMP_Soil_Subset,grouped_biomes,45,Rhizobiales Incertae Sedis,Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis,6.1178,4.5855
EMP_Soil_Subset,grouped_biomes,46,Flavitalea,Bacteroidota,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavitalea,6.1161,1.9833
EMP_Soil_Subset,grouped_biomes,47,SCGC AAA011-D5,Nanoarchaeota,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;SCGC AAA011-D5,6.0911,1.3424
EMP_Soil_Subset,grouped_biomes,48,Woesearchaeales,Nanoarchaeota,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,6.0881,1.3871
EMP_Soil_Subset,grouped_biomes,49,Subgroup 5,Acidobacteriota,Bacteria;Acidobacteriota;Subgroup 5,6.0249,10.5142
EMP_Soil_Subset,grouped_biomes,50,Planctomycetales,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Planctomycetales,5.8725,7.2748
