dataset,biome_label_scheme,rank,genus,phylum,full_lineage,MeanDecreaseAccuracy,MeanDecreaseGini
Global_Topsoil,grouped_biomes,3,Bacillus,Bacillota,Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,6.5779,1.6867
Global_Topsoil,grouped_biomes,4,Geodermatophilus,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus,6.502,1.3986
Global_Topsoil,grouped_biomes,5,Acidibacter,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter,5.8325,1.8148
Global_Topsoil,grouped_biomes,6,Pedomicrobium,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Pedomicrobium,5.8304,1.9649
Global_Topsoil,grouped_biomes,7,Aquisphaera,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Aquisphaera,5.5927,0.9397
Global_Topsoil,grouped_biomes,8,Granulicella,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Granulicella,5.5372,1.5436
Global_Topsoil,grouped_biomes,9,ADurb.Bin063-1,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae;ADurb.Bin063-1,5.2271,2.1567
Global_Topsoil,grouped_biomes,10,Thermosporothrix,Chloroflexota,Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Thermosporothrix,5.1905,1.1137
Global_Topsoil,grouped_biomes,11,RB41,Acidobacteriota,Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41,4.9766,1.0584
Global_Topsoil,grouped_biomes,12,Rugosimonospora,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Rugosimonospora,4.9252,1.0905
Global_Topsoil,grouped_biomes,13,Hephaestia,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Hephaestia,4.7081,1.3728
Global_Topsoil,grouped_biomes,14,Luedemannella,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Luedemannella,4.4139,1.558
Global_Topsoil,grouped_biomes,15,Candidatus Solibacter,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter,4.3361,1.4693
Global_Topsoil,grouped_biomes,16,Terracidiphilus,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Terracidiphilus,4.2805,0.9499
Global_Topsoil,grouped_biomes,17,Chungangia,Bacillota,Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Chungangia,4.2532,1.3153
Global_Topsoil,grouped_biomes,18,Rhodanobacter,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rhodanobacter,4.0424,0.5918
Global_Topsoil,grouped_biomes,19,Methylobacterium,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylobacterium,3.9336,1.0279
Global_Topsoil,grouped_biomes,20,Puia,Bacteroidota,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Puia,3.8536,1.1003
Global_Topsoil,grouped_biomes,21,Bryobacter,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter,3.5483,1.299
