dataset,biome_label_scheme,actual_class,predicted_class,count
EMP_Soil_Subset,original_biomes,Small river biome,rangeland biome,0
EMP_Soil_Subset,original_biomes,Small river biome,Small river biome,13
EMP_Soil_Subset,original_biomes,Small river biome,tropical moist broadleaf forest biome,0
EMP_Soil_Subset,original_biomes,Small river biome,tundra biome,0
EMP_Soil_Subset,original_biomes,Small river biome,urban biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,cropland biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,forest biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,freshwater biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,Large river biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,marine biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,montane grassland biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,rangeland biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,Small river biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,tropical moist broadleaf forest biome,22
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,tundra biome,0
EMP_Soil_Subset,original_biomes,tropical moist broadleaf forest biome,urban biome,0
EMP_Soil_Subset,original_biomes,tundra biome,cropland biome,0
EMP_Soil_Subset,original_biomes,tundra biome,forest biome,0
EMP_Soil_Subset,original_biomes,tundra biome,freshwater biome,3
EMP_Soil_Subset,original_biomes,tundra biome,Large river biome,0
EMP_Soil_Subset,original_biomes,tundra biome,marine biome,0
EMP_Soil_Subset,original_biomes,tundra biome,montane grassland biome,0
EMP_Soil_Subset,original_biomes,tundra biome,rangeland biome,0
EMP_Soil_Subset,original_biomes,tundra biome,Small river biome,0
EMP_Soil_Subset,original_biomes,tundra biome,tropical moist broadleaf forest biome,0
EMP_Soil_Subset,original_biomes,tundra biome,tundra biome,6
EMP_Soil_Subset,original_biomes,tundra biome,urban biome,0
EMP_Soil_Subset,original_biomes,urban biome,cropland biome,0
EMP_Soil_Subset,original_biomes,urban biome,forest biome,0
EMP_Soil_Subset,original_biomes,urban biome,freshwater biome,0
EMP_Soil_Subset,original_biomes,urban biome,Large river biome,0
EMP_Soil_Subset,original_biomes,urban biome,marine biome,0
EMP_Soil_Subset,original_biomes,urban biome,montane grassland biome,0
EMP_Soil_Subset,original_biomes,urban biome,rangeland biome,0
EMP_Soil_Subset,original_biomes,urban biome,Small river biome,0
EMP_Soil_Subset,original_biomes,urban biome,tropical moist broadleaf forest biome,0
EMP_Soil_Subset,original_biomes,urban biome,tundra biome,0
EMP_Soil_Subset,original_biomes,urban biome,urban biome,252
